
> warqandqlam@0.1.0 dev
> next dev

▲ Next.js 16.2.9 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.8.49:3000
✓ Ready in 665ms

 GET /products/products-page-pen-1 200 in 133ms (next.js: 52ms, generate-params: 20µs, application-code: 82ms)
 GET /products/products-page-pen-1 200 in 135ms (next.js: 26ms, generate-params: 30µs, application-code: 109ms)
 GET /products/products-page-pen-1 200 in 94ms (next.js: 4ms, generate-params: 17µs, application-code: 90ms)
 GET /products/products-page-pen-1 200 in 96ms (next.js: 34ms, generate-params: 36µs, application-code: 62ms)
 GET /products/products-page-pen-1 200 in 158ms (next.js: 6ms, generate-params: 19µs, application-code: 153ms)
 GET /products/products-page-pen-1 200 in 148ms (next.js: 5ms, generate-params: 34µs, application-code: 143ms)
 GET /products/products-page-pen-1 200 in 148ms (next.js: 53ms, generate-params: 18µs, application-code: 95ms)
 GET /products/products-page-pen-1 200 in 149ms (next.js: 28ms, generate-params: 20µs, application-code: 121ms)
 GET /products/products-page-pen-1 200 in 80ms (next.js: 4ms, generate-params: 19µs, application-code: 76ms)
 GET /products/products-page-pen-1 200 in 61ms (next.js: 5ms, generate-params: 16µs, application-code: 56ms)
 GET /products/products-page-pen-1 200 in 157ms (next.js: 6ms, generate-params: 17µs, application-code: 151ms)
 GET /products/products-page-pen-1 200 in 152ms (next.js: 5ms, generate-params: 18µs, application-code: 147ms)
 GET /products/products-page-pen-1 200 in 174ms (next.js: 66ms, generate-params: 18µs, application-code: 108ms)
 GET /products/products-page-pen-1 200 in 175ms (next.js: 23ms, generate-params: 16µs, application-code: 152ms)
 GET /products/products-page-pen-1 200 in 88ms (next.js: 11ms, generate-params: 5ms, application-code: 78ms)
 GET /products/products-page-pen-1 200 in 61ms (next.js: 7ms, generate-params: 19µs, application-code: 54ms)
 GET /products/products-page-pen-1 200 in 176ms (next.js: 5ms, generate-params: 17µs, application-code: 171ms)
 GET /products/products-page-pen-1 200 in 158ms (next.js: 12ms, generate-params: 20µs, application-code: 146ms)
 GET /products/products-page-pen-1 200 in 178ms (next.js: 41ms, generate-params: 28µs, application-code: 137ms)
 GET /products/products-page-pen-1 200 in 144ms (next.js: 38ms, generate-params: 18µs, application-code: 106ms)
 GET /products/products-page-pen-1 200 in 89ms (next.js: 6ms, generate-params: 20µs, application-code: 84ms)
 GET /products/products-page-pen-1 200 in 68ms (next.js: 3ms, generate-params: 18µs, application-code: 65ms)
 GET /products/products-page-pen-1 200 in 126ms (next.js: 6ms, generate-params: 18µs, application-code: 120ms)
 GET /products/products-page-pen-1 200 in 121ms (next.js: 6ms, generate-params: 19µs, application-code: 115ms)
 GET /products/products-page-pen-1 200 in 143ms (next.js: 25ms, generate-params: 16µs, application-code: 118ms)
 GET /products/products-page-pen-1 200 in 102ms (next.js: 6ms, generate-params: 62µs, application-code: 96ms)
 GET /products/products-page-pen-1 200 in 78ms (next.js: 3ms, generate-params: 17µs, application-code: 75ms)
 GET /products/products-page-pen-1 200 in 80ms (next.js: 25ms, generate-params: 26µs, application-code: 55ms)
